name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency,min_distance_to_false
RZE__to__KAT_cand_2309__to__POZ_cand_2469,2.724000000000001,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.7950000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2245,2.5200000000000014,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.7950000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_901,1.5000000000000004,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.7950000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_677,1.5,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.7950000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_1125,1.7040000000000006,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.7950000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_1573,2.0400000000000005,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.7950000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_2021,2.316000000000001,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.7950000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_1349,1.9080000000000008,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.7950000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_453,1.2960000000000005,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.7950000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_1797,2.112000000000001,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.7950000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_229,1.092,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.7950000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_5,0.8879999999999999,6,11.3,1.6149999999999998,0.3,7.230000000000002,1.0,True,1.0,0.7950000000000004
RZE__to__KAT_cand_2309__to__POZ_cand_262,1.092,6,11.3,3.2050000000000005,0.3,8.850000000000003,1.0,True,1.0,1.620000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_278,1.092,6,11.3,4.0,0.3,8.850000000000003,1.0,True,1.0,1.620000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_294,1.092,6,11.3,4.000000000000001,0.3,8.850000000000003,1.0,True,1.0,1.620000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_310,1.092,6,11.3,4.795000000000002,0.3,8.850000000000003,1.0,True,1.0,1.620000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_326,1.092,6,11.3,5.590000000000002,0.3,8.850000000000003,1.0,True,1.0,1.620000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2406,2.5200000000000014,6,11.3,7.975000000000003,0.3,8.850000000000003,1.0,True,1.0,1.620000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2422,2.5200000000000014,6,11.3,8.770000000000003,0.3,8.850000000000003,1.0,True,1.0,1.620000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2438,2.5200000000000014,6,11.3,9.565000000000005,0.3,8.850000000000003,1.0,True,1.0,1.620000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2454,2.5200000000000014,6,11.3,10.360000000000005,0.3,8.850000000000003,1.0,True,1.0,1.620000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2646,2.724000000000001,6,11.3,8.770000000000003,0.3,8.850000000000003,1.0,True,1.0,1.620000000000001
